Date,Close,Volume,Company,Ticker
2018-01-02 00:00:00-05:00,21.368667602539062,65283000,Tesla,TSLA
2018-01-03 00:00:00-05:00,21.149999618530273,67822500,Tesla,TSLA
2018-01-04 00:00:00-05:00,20.974666595458984,149194500,Tesla,TSLA
2018-01-05 00:00:00-05:00,21.10533332824707,68868000,Tesla,TSLA
2018-01-08 00:00:00-05:00,22.42733383178711,147891000,Tesla,TSLA
2018-01-09 00:00:00-05:00,22.246000289916992,107199000,Tesla,TSLA
2018-01-10 00:00:00-05:00,22.31999969482422,64648500,Tesla,TSLA
2018-01-11 00:00:00-05:00,22.530000686645508,99682500,Tesla,TSLA
2018-01-12 00:00:00-05:00,22.4146671295166,72376500,Tesla,TSLA
2018-01-16 00:00:00-05:00,22.67066764831543,97114500,Tesla,TSLA
2018-01-17 00:00:00-05:00,23.143999099731445,106552500,Tesla,TSLA
2018-01-18 00:00:00-05:00,22.971332550048828,85287000,Tesla,TSLA
2018-01-19 00:00:00-05:00,23.334667205810547,73324500,Tesla,TSLA
2018-01-22 00:00:00-05:00,23.437332153320312,93156000,Tesla,TSLA
2018-01-23 00:00:00-05:00,23.519332885742188,81981000,Tesla,TSLA
2018-01-24 00:00:00-05:00,23.05933380126953,79312500,Tesla,TSLA
2018-01-25 00:00:00-05:00,22.50933265686035,101104500,Tesla,TSLA
2018-01-26 00:00:00-05:00,22.856666564941406,68091000,Tesla,TSLA
2018-01-29 00:00:00-05:00,23.302000045776367,71206500,Tesla,TSLA
2018-01-30 00:00:00-05:00,23.05466651916504,70765500,Tesla,TSLA
2018-01-31 00:00:00-05:00,23.62066650390625,93211500,Tesla,TSLA
2018-02-01 00:00:00-05:00,23.28333282470703,62965500,Tesla,TSLA
2018-02-02 00:00:00-05:00,22.916667938232422,55572000,Tesla,TSLA
2018-02-05 00:00:00-05:00,22.208667755126953,66961500,Tesla,TSLA
2018-02-06 00:00:00-05:00,22.264667510986328,76326000,Tesla,TSLA
